Expected Years of Schooling,avg_temp,Marriage,avg_income,Divorce,HDI Rank (2021),avg_temp_c,education_expenditure,IQ,Hemisphere_Northern Hemisphere,Hemisphere_Southern Hemisphere
15.59906006,30.6,6.6,7586.0,1.4,87.0,23.03395282104025,427.0,83.0,0,1
15.59906006,30.6,6.6,7586.0,1.4,87.0,23.03395282104025,427.0,83.0,0,1
15.59906006,30.6,6.6,7586.0,1.4,87.0,23.03395282104025,427.0,83.0,0,1
15.59906006,30.6,6.6,7586.0,1.4,87.0,23.03395282104025,427.0,83.0,0,1
15.59906006,30.6,6.6,7586.0,1.4,87.0,23.03395282104025,427.0,83.0,0,1
12.67134767,31.2,3.5,2912.0,0.8,125.0,27.885779171557544,113.0,72.0,1,0
15.0336281,16.6,5.2,11391.0,1.7,46.0,9.739453472215889,585.0,99.0,1,0
17.8748703,24.4,4.940543733983164,8795.0,1.800270883444213,47.0,16.90442336565593,454.0,87.0,0,1
17.8748703,24.4,4.940543733983164,8795.0,1.800270883444213,47.0,16.90442336565593,454.0,87.0,0,1
17.8748703,24.4,4.940543733983164,8795.0,1.800270883444213,47.0,16.90442336565593,454.0,87.0,0,1
17.8748703,24.4,4.940543733983164,8795.0,1.800270883444213,47.0,16.90442336565593,454.0,87.0,0,1
17.8748703,24.4,4.940543733983164,8795.0,1.800270883444213,47.0,16.90442336565593,454.0,87.0,0,1
17.8748703,24.4,4.940543733983164,8795.0,1.800270883444213,47.0,16.90442336565593,454.0,87.0,0,1
17.8748703,24.4,4.940543733983164,8795.0,1.800270883444213,47.0,16.90442336565593,454.0,87.0,0,1
17.8748703,24.4,4.940543733983164,8795.0,1.800270883444213,47.0,16.90442336565593,454.0,87.0,0,1
10.13281417,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,137.0,26.109737456140483,409.7462800450428,88.29712891336501,1,0
12.47714043,24.939486947249716,7.8,7446.567417507158,1.1,101.0,16.566560812956492,409.7462800450428,88.29712891336501,1,0
13.34304047,32.0,6.4,7665.0,1.6,62.0,27.76571887803144,450.0,89.0,1,0
13.34304047,32.0,6.4,7665.0,1.6,62.0,27.76571887803144,450.0,89.0,1,0
13.34304047,32.0,6.4,7665.0,1.6,62.0,27.76571887803144,450.0,89.0,1,0
13.34304047,32.0,6.4,7665.0,1.6,62.0,27.76571887803144,450.0,89.0,1,0
13.34304047,32.0,6.4,7665.0,1.6,62.0,27.76571887803144,450.0,89.0,1,0
13.34304047,32.0,6.4,7665.0,1.6,62.0,27.76571887803144,450.0,89.0,1,0
13.34304047,32.0,6.4,7665.0,1.6,62.0,27.76571887803144,450.0,89.0,1,0
13.34304047,32.0,6.4,7665.0,1.6,62.0,27.76571887803144,450.0,89.0,1,0
16.87122917,21.5,1.8,19253.0,1.7,38.0,17.52328047967339,1005.0,93.0,1,0
16.52173996,18.2,4.7,22805.0,2.2,19.0,5.653297165789233,1024.0,103.0,1,0
20.02878952,22.3,4.7,21101.0,1.8,33.0,16.258174809608324,781.0,91.0,1,0
15.17352977,26.8,8.2,7812.0,1.4,63.0,21.7202151217969,310.0,87.0,0,1
15.88221913,33.0,5.5,4260.0,1.4,66.0,28.10498947996707,182.0,89.0,1,0
15.88221913,33.0,5.5,4260.0,1.4,66.0,28.10498947996707,182.0,89.0,1,0
15.88221913,33.0,5.5,4260.0,1.4,66.0,28.10498947996707,182.0,89.0,1,0
15.88221913,33.0,5.5,4260.0,1.4,66.0,28.10498947996707,182.0,89.0,1,0
15.88221913,33.0,5.5,4260.0,1.4,66.0,28.10498947996707,182.0,89.0,1,0
15.88221913,33.0,5.5,4260.0,1.4,66.0,28.10498947996707,182.0,89.0,1,0
15.88221913,33.0,5.5,4260.0,1.4,66.0,28.10498947996707,182.0,89.0,1,0
15.88221913,33.0,5.5,4260.0,1.4,66.0,28.10498947996707,182.0,89.0,1,0
14.98034954,8.1,3.4,2241.0,1.1,96.0,2.296193665917049,153.0,93.0,1,0
13.1953001,24.939486947249716,9.7,7446.567417507158,1.6,118.0,14.459082278481011,409.7462800450428,88.29712891336501,1,0
14.43299961,24.939486947249716,7.3,7446.567417507158,3.1,80.0,11.301680221126064,409.7462800450428,88.29712891336501,1,0
14.2361149,19.1,7.2,4654.0,3.2,79.0,6.899432176656152,183.0,104.0,1,0
14.2361149,19.1,7.2,4654.0,3.2,79.0,6.899432176656152,183.0,104.0,1,0
14.2361149,19.1,7.2,4654.0,3.2,79.0,6.899432176656152,183.0,104.0,1,0
14.2361149,19.1,7.2,4654.0,3.2,79.0,6.899432176656152,183.0,104.0,1,0
14.2361149,19.1,7.2,4654.0,3.2,79.0,6.899432176656152,183.0,104.0,1,0
14.2361149,19.1,7.2,4654.0,3.2,79.0,6.899432176656152,183.0,104.0,1,0
14.2361149,19.1,7.2,4654.0,3.2,79.0,6.899432176656152,183.0,104.0,1,0
14.2361149,19.1,7.2,4654.0,3.2,79.0,6.899432176656152,183.0,104.0,1,0
8.658349991,28.9,5.7,1446.0,0.4,35.0,25.01480470111248,76.0,91.0,0,0
12.98799113,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,105.0,23.580674154359063,409.7462800450428,88.29712891336501,0,1
12.98799113,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,105.0,23.580674154359063,409.7462800450428,88.29712891336501,0,1
12.98799113,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,105.0,23.580674154359063,409.7462800450428,88.29712891336501,0,1
12.98799113,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,105.0,23.580674154359063,409.7462800450428,88.29712891336501,0,1
12.98799113,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,105.0,23.580674154359063,409.7462800450428,88.29712891336501,0,1
